TIME_PERIOD,OBS_VALUE,AGE,AGE_LABEL,FREQ,FREQ_LABEL,GEO,GEO_LABEL,SEX,SEX_LABEL,SOURCE_URL,S_ADJ,S_ADJ_LABEL,TITLE,UNIT,UNIT_LABEL
2004-06,9.4,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2004-07,9.4,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2004-08,9.4,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2004-09,9.5,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2004-10,9.5,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2004-11,9.5,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2004-12,9.4,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2005-01,9.3,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2005-02,9.3,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2005-03,9.3,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2005-04,9.4,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2005-05,9.3,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2005-06,9.3,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2005-07,9.2,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
2005-08,9.2,TOTAL,Total,M,Monthly,EA21,Euro area – 21 countries (from 2026),T,Total,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?geo=EA21&sex=T&age=TOTAL&s_adj=SA&unit=PC_ACT,SA,"Seasonally adjusted data, not calendar adjusted data",Unemployment by sex and age - monthly data,PC_ACT,Percentage of population in the labour force
