sample,system,nobs,sample_start,sample_end,variables,det_order,deterministic,k_ar_diff,r_null,trace_stat,trace_crit_95,trace_reject_95,maxeig_stat,maxeig_crit_95,maxeig_reject_95,selected_trace_rank_5pct,selected_maxeig_rank_5pct,error
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",1,linear_trend,1,2,41.45521528720195,55.2459,False,17.164693632163026,30.8151,False,1,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",1,linear_trend,1,3,24.29052165503893,35.0116,False,11.873120180890616,24.2522,False,1,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",1,linear_trend,1,4,12.417401474148317,18.3985,False,8.720613999164533,17.1481,False,1,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",1,linear_trend,1,5,3.6967874749837835,3.8415,False,3.6967874749837835,3.8415,False,1,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",1,linear_trend,2,0,118.79036809750161,107.3429,True,41.09594879793863,43.4183,False,1,0,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",1,linear_trend,2,1,77.694419299563,79.3422,False,30.29223146384306,37.1646,False,1,0,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",1,linear_trend,2,2,47.40218783571994,55.2459,False,18.993646877178325,30.8151,False,1,0,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",1,linear_trend,2,3,28.408540958541607,35.0116,False,17.49049578152661,24.2522,False,1,0,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",1,linear_trend,2,4,10.918045177014996,18.3985,False,10.089222190876951,17.1481,False,1,0,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",1,linear_trend,2,5,0.8288229861380458,3.8415,False,0.8288229861380458,3.8415,False,1,0,
