quarter,event_count,date,regime,identification_regime,timing_factor_market_magnitude_weighted_quarterly_sum,timing_factor_crisis_weighted_quarterly_sum,timing_factor_qe_event_weighted_quarterly_sum,target_factor_market_magnitude_weighted_quarterly_sum,target_factor_crisis_weighted_quarterly_sum,target_factor_qe_event_weighted_quarterly_sum,fg_factor_market_magnitude_weighted_quarterly_sum,fg_factor_crisis_weighted_quarterly_sum,fg_factor_qe_event_weighted_quarterly_sum,qe_factor_market_magnitude_weighted_quarterly_sum,qe_factor_crisis_weighted_quarterly_sum,qe_factor_qe_event_weighted_quarterly_sum
2019Q3,2,2019-09-30,qe_era,qe_era,1.348163407235186,1.7369964873791428,6.801017156203681,11.002234839144212,5.125591691115485,19.887490928878087,5.3316537666793495,3.671590442118014,13.407487323825347,32.74163983046373,11.378635631064379,44.12027546152811
2019Q4,2,2019-12-31,qe_era,qe_era,0.1838374526978569,0.5396331249383983,1.2703136155025858,-0.33452828063328877,-0.8932325393242044,-1.6586552353069564,-0.10094926689005335,-0.1720531974630335,-1.1455146726560286,4.520248396690501,2.461495929967369,6.981744326657871
2020Q1,2,2020-03-31,covid,covid,0.023776149651756784,0.016421942998334105,-1.5946040631929947,102.80720854814149,16.426329825907676,35.14422942535177,1.307436504496113,1.1707404627595732,4.370052503588715,-11.252230374683034,-9.307256385038936,-17.45706796470899
2020Q2,2,2020-06-30,covid,covid,0.1533001742433181,0.7456571097983297,1.1622618664418487,1.9127879267492378,2.212791066947479,3.633479409820821,1.4830547271070995,3.831771210134775,5.510404672822013,-2.9612186653663026,-2.0050934563165246,-4.297947636243985
2020Q3,2,2020-09-30,covid,covid,-0.014261745830416877,-0.10691501651293711,-0.14263182669280203,0.5130383872524458,0.6141024694502916,0.8437179165250648,0.0009781134894488721,0.015120335297236637,-0.0218344998146994,0.5921813588971409,0.9967231439457387,1.2566634548609665
2020Q4,2,2020-12-31,covid,covid,-0.004556829658578166,-0.035641853189661926,-0.06183556509082601,0.4304780103663234,0.5913434537771076,0.3629203896272519,-0.5960592367649747,-1.8163908516603444,-1.7847421422461995,0.5701933950686898,2.121696576338305,1.9846577792942266
2021Q1,2,2021-03-31,covid,covid,2.9214099404963143,3.608541187801488,4.481651729942012,-0.16966219107581523,-0.8632390624667883,-1.0844205175867505,-2.932151393844311,-5.063194165655812,-6.201964318702777,2.6723952772651676,3.2098758029927588,4.81231247926034
2021Q2,2,2021-06-30,covid,covid,-1.0388988571456779,-1.991448184604563,-2.139461765008363,-0.1700687545983203,-0.9328204084805416,-1.2335856902829325,1.0182396236709115,2.961872430416311,3.361407925250796,-3.8055299749984077,-5.255169171338714,-7.308976089224218
2021Q3,2,2021-09-30,covid,covid,0.32755488106442754,1.227018415732478,1.3025581815045508,-0.27047668458056934,-1.2087070871842367,-1.3520516209173303,-0.13449187169472843,-1.1662835770948827,-1.2980484052307566,0.9925037865524595,1.1156212408986343,1.7362512804848822
2021Q4,2,2021-12-31,covid,covid,-0.15425016407934866,-0.2713814430392436,-0.03721968002595688,0.8150112366023531,1.0244288911123793,0.9301294626899138,2.2204472649710176,2.337722910064281,2.1480383349137164,-2.8033360039319524,-1.9825066000210714,-4.125007070612666
2022Q1,2,2022-03-31,covid,tightening,-4.712026920174139,-4.123056619722576,-6.461395102126736,-0.5801980797748041,-1.764043640466198,-2.364926334047641,47.159051580104084,15.73021946144987,26.289741992236518,4.930086896556686,5.6865976013964445,8.721151964154316
2022Q2,2,2022-06-30,covid,tightening,-2.644834973868971,-3.4867846973572796,-7.1727717778322475,-4.448962342910674,-4.201295846842742,-8.423446670943465,0.3379845623514123,1.006111562072702,1.738605234237999,6.833146229894922,2.288622414960656,8.358894506535359
2022Q3,2,2022-09-30,tightening_regime,tightening,4.924372928119841,2.2675875317664858,-1.3337341534625802,46.10726539387731,15.359380945837026,26.89157284922929,-6.149117332664188,-7.108710564622989,-17.651444682752736,-25.02123273304059,-11.914813526009087,-32.96444175037998
2022Q4,2,2022-12-31,tightening_regime,tightening,-0.025411501513880157,-0.13943203245247576,-0.3775267705224249,-13.775367464835108,-3.328327633097939,-1.141310449419982,95.80820410581411,20.066015121485776,21.87101892684867,-7.361210442313073,-7.509376470724156,-12.367461422795843
