"date","quarter","baseline_sample","robustness_sample","wx_shadow_rate","dfr_eop","dfr_qavg","ecb_assets_ea_stock","ecb_assets_ea_qavg","ecb_assets_ea_trillions","ln_ecb_assets_ea_stock","hh_loans_ea_stock","ln_hh_loans_ea_stock","nfc_loans_ea_stock","ln_nfc_loans_ea_stock","house_price_de","house_price_de_real","ln_house_price_de","ln_house_price_de_real","compensation_ea20_nominal","compensation_ea20_real","ln_compensation_ea20_nominal","ln_compensation_ea20_real","dax_close","dax_real_de","ln_dax_close","ln_dax_real_de","hicp_de","hicp_ea20","hicp_ea","ln_hicp_de","ln_hicp_ea20","credit_standards_enterprise","credit_standards_household","retail_de_mom_pct_qavg","retail_de_chained_index_qavg","dummy_gfc_2008q4","dummy_euro_crisis_2012q3","dummy_qe_launch_2015q1","dummy_covid_2020q2","dummy_2022_tightening_q3","regime_qe_2015_2022q2","regime_post_covid","regime_post_2022_tightening"
2016-09-30,"2016Q3",TRUE,TRUE,-4.54542807642284,-0.4,-0.4,3438145,3314201.14285714,3.438145,15.0504426397191,5708847.08,15.5575276488108,4289154.01,15.2716000709914,127.5,107.776838546069,4.84811636459848,4.68006277960223,94.54,79.6618262505969,4.54902302536509,4.37779050305683,10511.02,8885.05494505494,9.26017950959007,9.09212592459382,118.3,118.676666666667,118.466666666667,4.77322377098434,4.77640270829635,-5,0,0.233333333333333,107.166236962412,0,0,0,0,0,1,0,0
2016-12-31,"2016Q4",TRUE,TRUE,-4.10873670618502,-0.4,-0.4,3662901,3559371.92307692,3.662901,15.1137660143687,5733207.95,15.5617857836904,4299704.53,15.2740568643494,129.3,109.545326179045,4.86213528577781,4.69633840131616,95.03,79.7231543624161,4.55419263122322,4.37856006258007,11481.06,9726.9641344253,9.34845400010576,9.18265711564411,118.033333333333,119.2,119,4.77096707044975,4.78080275463125,0,-2,1.36666666666667,109.505216406816,0,0,0,0,0,1,0,0
2017-03-31,"2017Q1",TRUE,TRUE,-5.10715176875806,-0.4,-0.4,4100730,3803214,4.10073,15.2266755646062,5759655.52,15.5663882253281,4335066.3,15.2822474621975,129.9,110.084745762712,4.86676492367655,4.70125048519898,95.5,80.1914518431438,4.55912624748668,4.38441692369487,12312.87,10434.6355932203,9.41840033579025,9.25288589731268,118,119.09,118.886666666667,4.77068462446567,4.7798795097799,2,1,0.2,109.597715629567,0,0,0,0,0,1,0,0
2017-06-30,"2017Q2",TRUE,TRUE,-5.32402037279751,-0.4,-0.4,4209510,4181064.92307692,4.20951,15.2528568093361,5808919.55,15.5749051476793,4326069.04,15.2801698446836,132.5,111.002513264451,4.88658264542628,4.70955284307809,95.89,79.5415583697395,4.56320170116559,4.37627963186496,12325.12,10325.4286512147,9.41939473517181,9.24236493282362,119.366666666667,120.553333333333,120.35,4.78219998833628,4.79209225528872,-2,-7,-0.0666666666666667,110.877016527787,0,0,0,0,0,1,0,0
2017-09-30,"2017Q3",TRUE,TRUE,-5.29333708074398,-0.4,-0.4,4318624,4270328.23076923,4.318624,15.278447390964,5838275.36,15.5799459961218,4317246.13,15.2781282870426,134.7,111.815163254012,4.90305008341632,4.71684717991439,96.22,79.8992471213463,4.56663723627131,4.38076642996621,12828.86,10649.3027116768,9.45945259941405,9.27324969591213,120.466666666667,120.426666666667,120.22,4.79137308949002,4.79104099229319,-3,-4,0.5,111.646852624745,0,0,0,0,0,1,0,0
2017-12-31,"2017Q4",TRUE,TRUE,-5.12209043395814,-0.4,-0.4,4471563,4413252.30769231,4.471563,15.3132485699009,5871209.54,15.5855712250924,4350143.45,15.2857193795326,137.4,114.563646470261,4.92289637978825,4.74113053292802,96.94,80.190812331109,4.57409223041723,4.38440894884755,12917.64,10770.683713174,9.46634909811306,9.28458325125283,119.933333333333,120.886666666667,120.68,4.78693603284832,4.79485346755777,-1,-11,0.533333333333333,112.65088189836,0,0,0,0,0,1,0,0
2018-03-31,"2018Q1",TRUE,TRUE,-5.11368627801274,-0.4,-0.4,4529579,4505206.23076923,4.529579,15.3261395571581,5895645.83,15.5897246415084,4381924.84,15.2929986470051,138.6,115.78947368421,4.9315920867558,4.75177366017997,97.25,80.6362455432409,4.57728498249856,4.38994824499565,12096.73,10105.873015873,9.4006904471274,9.22087202055156,119.7,120.603333333333,120.396666666667,4.78498861256393,4.792506923491,0,-7,-0.733333333333333,111.291428221669,0,0,0,0,0,1,0,0
2018-06-30,"2018Q2",TRUE,TRUE,-6.02370428043262,-0.4,-0.4,4592518,4562948.61538462,4.592518,15.3399390154976,5950290.73,15.598950638513,4431776.39,15.3043110526166,141.3,116.168813373527,4.95088528969048,4.75504442090428,97.86,79.8053660260418,4.58353788586098,4.37959074562913,12306,10117.2924088791,9.41784222730043,9.22200135851423,121.633333333333,122.623333333333,122.416666666667,4.80101105477429,4.80911732621994,-5,-12,0.4,113.566138777075,0,0,0,0,0,1,0,0
2018-09-30,"2018Q3",TRUE,TRUE,-6.30455226450304,-0.4,-0.4,4619792,4616285.46153846,4.619792,15.3458602403994,5986933.16,15.6050898456561,4446401.12,15.3076055898595,144.2,117.140536149472,4.97120122485085,4.76337437764853,98.62,80.1940747567289,4.59127408079598,4.38444963130435,12246.73,9948.60276198213,9.41301424156287,9.20518739436055,123.1,122.976666666667,122.77,4.81299703319041,4.81199463547972,-3,-9,-0.0666666666666667,113.328254090019,0,0,0,0,0,1,0,0
2018-12-31,"2018Q4",TRUE,TRUE,-6.18822124933447,-0.4,-0.4,4669003,4644608.38461538,4.669003,15.3564561164887,6029194.34,15.6121239511534,4478880.98,15.3148837919406,146,119.248570650694,4.98360662170834,4.78121014353892,99.17,80.5016640961117,4.59683554919803,4.38827785621224,10558.96,8624.25265450585,9.26473006756182,9.0623335893924,122.433333333333,123.19,122.986666666667,4.80756666415751,4.81372787897388,-5,-3,0.333333333333333,114.159122550608,0,0,0,0,0,1,0,0
