quarter,date,regime,identification_regime,monthly_event_count,missing_months_in_quarter,timing_factor_monthly_sum,timing_factor_monthly_mean,timing_factor_monthly_abs_sum,target_factor_monthly_sum,target_factor_monthly_mean,target_factor_monthly_abs_sum,fg_factor_monthly_sum,fg_factor_monthly_mean,fg_factor_monthly_abs_sum,qe_factor_monthly_sum,qe_factor_monthly_mean,qe_factor_monthly_abs_sum,weighted_composite_monthly_sum,weighted_composite_monthly_mean,weighted_composite_monthly_abs_sum
2012Q4,2012-12-31,euro_crisis,pre_qe,3,0,1.3228453758539116,0.44094845861797055,1.7250878131060983,0.2330754903268881,0.0776918301089627,0.5924148509202194,-2.1579749786985305,-0.7193249928995101,2.9023880035990537,0.0,,,0.04849646757066639,0.01616548919022213,0.5355118523665134
2013Q1,2013-03-31,euro_crisis,pre_qe,3,0,0.8695745964259421,0.2898581988086474,0.8695745964259421,-0.9869214755682203,-0.32897382518940677,0.9869214755682203,-0.13648589250484555,-0.045495297501615184,6.619779254525229,0.0,,,0.005858389108555545,0.001952796369518515,0.7390375628397238
2013Q2,2013-06-30,euro_crisis,pre_qe,3,0,-0.691447413669811,-0.23048247122327034,0.8954061091955113,-0.43671511083990444,-0.1455717036133015,0.8297278012419348,2.918552717976754,0.9728509059922513,5.336342280160856,0.0,,,0.09903216391998726,0.03301072130666242,0.5897161271983452
2013Q3,2013-09-30,euro_crisis,pre_qe,3,0,-0.7160412741787733,-0.23868042472625775,0.8888914978338643,-0.9915104935693319,-0.33050349785644395,0.9915104935693319,-0.14386557966217314,-0.04795519322072438,7.978745349133084,0.0,,,-0.2552833994805267,-0.0850944664935089,0.6215557779875346
2013Q4,2013-12-31,euro_crisis,pre_qe,3,0,0.8836977590994856,0.29456591969982854,1.4337798091290632,-1.1849545030271487,-0.3949848343423829,1.1967701138437694,2.4177002422255724,0.8059000807418575,2.8638881385846635,0.0,,,0.21719360930531398,0.072397869768438,0.26141690929892947
2014Q1,2014-03-31,euro_crisis,pre_qe,3,0,6.826989204909186,2.275663068303062,7.2451167209112874,0.5730214868861296,0.19100716229537654,1.2519412974414457,-3.6387128895073704,-1.2129042965024568,3.6387128895073704,5.0952050108241265,1.698401670274709,5.111785361149552,1.1143243067895454,0.37144143559651516,1.3673566179549608
2014Q2,2014-06-30,euro_crisis,qe_era,3,0,-3.546051276884477,-1.1820170922948257,7.6083940915670105,2.339165211979971,0.779721737326657,2.339165211979971,1.1414188768190083,0.3804729589396694,11.697033381844845,-4.375270492299663,-1.4584234974332209,4.375270492299663,-0.5392202999206679,-0.17974009997355597,0.6229695525173093
2014Q3,2014-09-30,euro_crisis,qe_era,3,0,1.3598975816059298,0.45329919386864326,1.3598975816059298,-7.008994655258489,-2.3363315517528296,7.008994655258489,-0.8034703248078902,-0.26782344160263005,1.0549077584724995,3.6196193250090367,1.2065397750030122,3.6196193250090367,-0.2144996098266699,-0.07149986994222331,0.21452244355315714
2014Q4,2014-12-31,euro_crisis,qe_era,3,0,2.1582137288989376,0.7194045762996458,2.1582137288989376,-1.0921439532291022,-0.3640479844097007,1.0921439532291022,-2.0348604478573016,-0.6782868159524339,2.5441765968703978,3.042402184151126,1.0141340613837087,3.042402184151126,0.3041280942226948,0.10137603140756495,0.3041280942226948
2015Q1,2015-03-31,qe_era,qe_era,2,1,-3.0483939978167065,-1.5241969989083533,3.0483939978167065,-1.3532518274140604,-0.6766259137070302,1.3532518274140604,4.550888564373798,2.275444282186899,4.550888564373798,-13.20283270393655,-6.601416351968275,13.20283270393655,-1.4067386735512653,-0.7033693367756326,1.4067386735512653
