event_id,event_date,event_quarter,regime,target_factor,timing_factor,ois_1m_mew,ois_6m_mew,stoxx50_mew,rate_factor_for_screen,yield_response_for_screen,equity_response_for_screen,ois_movement,equity_window_response,rate_factor_sign,yield_response_sign,equity_response_sign,information_effect_screen,contamination_classification,contamination_flag,monthly_identification_window
ECB_20140306,2014-03-06,2014Q1,euro_crisis,0.7025267788223649,3.940284014721749,3.9,2.75,-0.320062253482334,0.7025267788223649,2.75,-0.320062253482334,2.75,-0.320062253482334,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20140703,2014-07-03,2014Q3,euro_crisis,-0.2806013518392048,0.2040338015495623,-0.2,-0.3,0.481366345706569,-0.2806013518392048,-0.3,0.481366345706569,-0.3,0.481366345706569,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20140904,2014-09-04,2014Q3,euro_crisis,-6.237604501896674,0.996674344395132,-5.600000000000001,-5.3,0.994292288364384,-6.237604501896674,-5.3,0.994292288364384,-5.3,0.994292288364384,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20150122,2015-01-22,2015Q1,qe_era,-0.0320421539649692,-1.5183321015779832,-0.18,-0.639999999999999,0.4844500696332689,-0.0320421539649692,-0.639999999999999,0.4844500696332689,-0.639999999999999,0.4844500696332689,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20150903,2015-09-03,2015Q3,qe_era,-0.3497594701893211,0.2896007029379512,-0.109999999999999,-0.1,0.9635311983673838,-0.3497594701893211,-0.1,0.9635311983673838,-0.1,0.9635311983673838,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20151022,2015-10-22,2015Q4,qe_era,-0.2905680662827565,-1.130530233290454,0.0,-2.475,2.0069357381212094,-0.2905680662827565,-2.475,2.0069357381212094,-2.475,2.0069357381212094,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20151203,2015-12-03,2015Q4,qe_era,4.895670146087963,1.588660156691507,5.175,8.125,-3.64585351797242,4.895670146087963,8.125,-3.64585351797242,8.125,-3.64585351797242,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20160908,2016-09-08,2016Q3,qe_era,0.1648766883653321,0.1479043768192402,0.999999999999995,0.900000000000001,-0.706778671544051,0.1648766883653321,0.900000000000001,-0.706778671544051,0.900000000000001,-0.706778671544051,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20161020,2016-10-20,2016Q4,qe_era,-0.2920680343648117,-0.1704458475051896,0.0,-0.0049999999999994,0.098839863016309,-0.2920680343648117,-0.0049999999999994,0.098839863016309,-0.0049999999999994,0.098839863016309,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20170427,2017-04-27,2017Q2,qe_era,-0.1920357971434694,0.1538692966514039,-0.645000000000001,-0.6000000000000009,0.0252352487292384,-0.1920357971434694,-0.6000000000000009,0.0252352487292384,-0.6000000000000009,0.0252352487292384,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
