dimension,response,horizon,value,sign,control_lags,regime
regime_interactions,ln_compensation_ea20_real,8,-8.381278175682134e-10,negative,,qe
regime_interactions,ln_compensation_ea20_real,12,-2.1961102389782377e-08,negative,,qe
regime_interactions,ln_compensation_ea20_real,0,1.89507496848041e-08,positive,,tightening
regime_interactions,ln_compensation_ea20_real,1,-1.570313728438716e-07,negative,,tightening
regime_interactions,ln_compensation_ea20_real,2,2.5899543048554224e-14,positive,,tightening
regime_interactions,ln_compensation_ea20_real,4,-4.191969143522432e-14,negative,,tightening
regime_interactions,ln_compensation_ea20_real,8,1.1107484255930733e-13,positive,,tightening
regime_interactions,ln_compensation_ea20_real,12,1.1400869929812376e-14,positive,,tightening
regime_interactions,ln_ecb_assets_ea_stock,0,1.325411873000909e-07,positive,,covid
regime_interactions,ln_ecb_assets_ea_stock,1,-1.783042564622462e-07,negative,,covid
regime_interactions,ln_ecb_assets_ea_stock,2,-1.0486892566005716e-07,negative,,covid
regime_interactions,ln_ecb_assets_ea_stock,4,-2.065303375624265e-07,negative,,covid
regime_interactions,ln_ecb_assets_ea_stock,8,-9.628298193118877e-08,negative,,covid
regime_interactions,ln_ecb_assets_ea_stock,12,1.4684815630702113e-12,positive,,covid
regime_interactions,ln_ecb_assets_ea_stock,0,6.423384851063417e-07,positive,,pre_qe
regime_interactions,ln_ecb_assets_ea_stock,1,9.074673748192536e-07,positive,,pre_qe
regime_interactions,ln_ecb_assets_ea_stock,2,1.3745815617976364e-06,positive,,pre_qe
regime_interactions,ln_ecb_assets_ea_stock,4,1.3849674358540186e-06,positive,,pre_qe
regime_interactions,ln_ecb_assets_ea_stock,8,4.21163028140856e-07,positive,,pre_qe
regime_interactions,ln_ecb_assets_ea_stock,12,-5.902276664379943e-07,negative,,pre_qe
regime_interactions,ln_ecb_assets_ea_stock,0,6.085843281218879e-07,positive,,qe
regime_interactions,ln_ecb_assets_ea_stock,1,6.975718083207705e-07,positive,,qe
regime_interactions,ln_ecb_assets_ea_stock,2,1.1021434936636617e-06,positive,,qe
regime_interactions,ln_ecb_assets_ea_stock,4,1.4631508459037826e-06,positive,,qe
regime_interactions,ln_ecb_assets_ea_stock,8,9.907859616698482e-07,positive,,qe
regime_interactions,ln_ecb_assets_ea_stock,12,-1.1627070973393429e-07,negative,,qe
regime_interactions,ln_ecb_assets_ea_stock,0,-1.8938183216356533e-08,negative,,tightening
regime_interactions,ln_ecb_assets_ea_stock,1,7.347841714692622e-07,positive,,tightening
regime_interactions,ln_ecb_assets_ea_stock,2,-5.9735427081598e-14,negative,,tightening
regime_interactions,ln_ecb_assets_ea_stock,4,-2.948362936106948e-13,negative,,tightening
regime_interactions,ln_ecb_assets_ea_stock,8,-1.2620148276000833e-12,negative,,tightening
regime_interactions,ln_ecb_assets_ea_stock,12,-1.2825209214771416e-12,negative,,tightening
regime_interactions,ln_hh_loans_ea_stock,0,1.5717736407760887e-08,positive,,covid
regime_interactions,ln_hh_loans_ea_stock,1,1.4469182502903557e-08,positive,,covid
regime_interactions,ln_hh_loans_ea_stock,2,2.3109552177325857e-08,positive,,covid
regime_interactions,ln_hh_loans_ea_stock,4,3.322821822786656e-08,positive,,covid
regime_interactions,ln_hh_loans_ea_stock,8,2.3290477019453242e-08,positive,,covid
regime_interactions,ln_hh_loans_ea_stock,12,-2.87667101698724e-13,negative,,covid
regime_interactions,ln_hh_loans_ea_stock,0,1.920457664213252e-08,positive,,pre_qe
regime_interactions,ln_hh_loans_ea_stock,1,-1.1429769069633273e-08,negative,,pre_qe
regime_interactions,ln_hh_loans_ea_stock,2,-3.472088606612385e-09,negative,,pre_qe
regime_interactions,ln_hh_loans_ea_stock,4,-2.8496139345179863e-08,negative,,pre_qe
regime_interactions,ln_hh_loans_ea_stock,8,-8.941728655577376e-08,negative,,pre_qe
regime_interactions,ln_hh_loans_ea_stock,12,-1.967604112366685e-07,negative,,pre_qe
regime_interactions,ln_hh_loans_ea_stock,0,2.788526289465896e-08,positive,,qe
regime_interactions,ln_hh_loans_ea_stock,1,2.8264779612997656e-08,positive,,qe
regime_interactions,ln_hh_loans_ea_stock,2,3.8121355701305976e-08,positive,,qe
regime_interactions,ln_hh_loans_ea_stock,4,-2.427168079749106e-09,negative,,qe
