factor,aggregation,architecture,instrument,target_equation,sample,regime,regime_start,regime_end,F_stat,partial_R2,coef,sign,full_sample_sign,sign_stability,p_value,observations,instrument_variance,event_count,shock_abs_sum,shock_concentration_share
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,positive,unstable_or_unavailable,,8,0.8395766233852194,16,9.098443614279393,0.03725728482752458
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,1.2853692773025498,0.08409147688771981,0.0011975922825581808,positive,positive,stable,0.2759446264519272,16,0.9689084295527398,31,28.347576960697772,0.11608070498313892
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.09220397723266548,0.0027045472711075182,0.00022789430448164798,positive,positive,stable,0.7632442194333913,36,16.309449630243623,112,172.23689515335184,0.7052941505804075
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,1.2743511672592638,0.0572115954215723,-0.001300425044358103,negative,positive,unstable_or_unavailable,0.2716833402128957,23,2.584721410472081,49,34.522845813310035,0.14136785960892906
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,positive,unstable_or_unavailable,,8,0.8395766233852194,16,9.098443614279393,0.03725728482752458
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,1.1160323968682966,0.07383104028670337,0.002708789522610555,positive,positive,stable,0.30866406091459186,16,0.9689084295527398,31,28.347576960697772,0.11608070498313892
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,1.873348969697235,0.05222118992234825,0.00044487505595062945,positive,negative,unstable_or_unavailable,0.18006796147515594,36,16.309449630243623,112,172.23689515335184,0.7052941505804075
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,1.03573871378802,0.04700267720727448,0.001124809465197656,positive,negative,unstable_or_unavailable,0.32039707055974104,23,2.584721410472081,49,34.522845813310035,0.14136785960892906
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.8395766233852194,16,9.098443614279393,0.03725728482752458
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_house_price_de_real,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.7345623246348565,0.049853012831384526,0.004567994047603179,positive,negative,unstable_or_unavailable,0.40584089073488927,16,0.9689084295527398,31,28.347576960697772,0.11608070498313892
