factor,aggregation,architecture,instrument,target_equation,sample,regime,regime_start,regime_end,F_stat,partial_R2,coef,sign,full_sample_sign,sign_stability,p_value,observations,instrument_variance,event_count,shock_abs_sum,shock_concentration_share
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_house_price_de_real,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,1.3600840713022309,0.038463824592715176,-0.0009786093593051794,negative,negative,stable,0.251638533653355,36,2.4293833962391775,112,39.944635440956326,0.6286928317056368
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_house_price_de_real,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,5.762359350253136,0.21531582006048475,-0.005685726250504065,negative,negative,stable,0.025721600015653434,23,0.4633968930685427,49,11.147660204727934,0.17545420013563787
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_house_price_de_real,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.28352100941967057,16,2.667675051225679,0.04198681909375811
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_house_price_de_real,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.14284564589112925,0.010100205394847796,0.002625450760887817,positive,negative,unstable_or_unavailable,0.7111369009937207,16,0.5942440382688877,31,9.776041527990024,0.15386614906496698
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_wx_shadow_rate,baseline_2005q1_2022q2,pre_qe,2005Q1,2014Q1,4.598059265577985,0.11912669582531486,-0.04646384206188477,negative,negative,stable,0.03924265230304219,36,16.309449630243623,112,172.23689515335184,0.7052941505804075
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_wx_shadow_rate,baseline_2005q1_2022q2,qe_era,2014Q2,2019Q4,1.4876158653957299,0.06615267151040653,-0.07111241023408797,negative,negative,stable,0.23610853178547453,23,2.584721410472081,49,34.522845813310035,0.14136785960892906
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_wx_shadow_rate,baseline_2005q1_2022q2,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.8395766233852194,16,9.098443614279393,0.03725728482752458
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_wx_shadow_rate,baseline_2005q1_2022q2,tightening,2022Q1,2025Q4,,,,,negative,unstable_or_unavailable,,2,0.08996487982009557,4,5.073227544719904,0.020774397429009384
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_dfr_eop,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,2.2214355440888336,0.06132930710007051,-0.023038421971302854,negative,negative,stable,0.1453261228257157,36,16.309449630243623,112,172.23689515335184,0.7052941505804075
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_dfr_eop,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,8.094637821238182,0.2782175145459054,-0.013836662867442694,negative,negative,stable,0.00969526713575748,23,2.584721410472081,49,34.522845813310035,0.14136785960892906
