,shadow_rate,ln_credit,ln_real_equity,ln_real_housing,ln_real_income,ln_cpi
2014-02-28,-2.448250577743199,9.203473607118003,2.7531230197571093,-0.3875807598390641,9.48402493478411,5.461910468915507
2014-03-31,-1.8795053228946992,9.21114977432171,2.7235546483634008,-0.38144109772378193,9.489478549080548,5.463950442055756
2014-04-30,-1.49242991181429,9.215625333929994,2.717869273854671,-0.37234493983385086,9.49327619880273,5.465812892223319
2014-05-31,-1.5430894704050373,9.221448139177042,2.758276171641498,-0.3637888368957978,9.496488768948737,5.467714089705059
2014-06-30,-1.1995905210594238,9.22689416870936,2.7866590032408194,-0.3558605182669375,9.5000503867622,5.469034349983856
2014-07-31,-0.89230303036847,9.23469032684171,2.7966477013215463,-0.35143511776136593,9.502024425807262,5.470159202386607
2014-08-31,-0.7864737149656562,9.239626879867432,2.8444803333758895,-0.3493920271261537,9.506429505845295,5.469999188237646
2014-09-30,-0.48477149039410294,9.2444425969323,2.8362631022553138,-0.35071262593504904,9.509429634338519,5.4700707766799335
2014-10-31,-0.711112729640307,9.247724332023076,2.862967129003975,-0.35250197925553595,9.514193485490093,5.469872843189151
2014-11-30,-0.5712394688166256,9.252761398562962,2.907129566881151,-0.3521286080993654,9.519617581864553,5.467988408604609
2014-12-31,-0.16614813776495602,9.261978773207515,2.8865417726847262,-0.3502341074273981,9.526544301460616,5.4648990319464845
2015-01-31,-0.3143537261412147,9.270318332987875,2.8719768899392224,-0.34513596690662957,9.532257190588197,5.458508338453997
2015-02-28,-0.004293030126263642,9.277569725044883,2.93752076960028,-0.3453900254602241,9.535896096856046,5.4610397753424955
2015-03-31,-0.11076913326459811,9.285928535962409,2.910444547141702,-0.3393614455250586,9.533242376657958,5.463730104939077
2015-04-30,-0.10931621526673874,9.292708696996437,2.9278211823514484,-0.3292501125944713,9.535462727401809,5.464772040831459
2015-05-31,-0.1274397234608364,9.298854240909272,2.9455999700518687,-0.3215296464725979,9.53716623154559,5.468064360535513
2015-06-30,-0.11665606591532637,9.30359066576219,2.9177947273138924,-0.3150313341502767,9.537779071645954,5.470828457707228
2015-07-31,-0.17375185842294708,9.306248214962464,2.958984281475362,-0.3106205928133962,9.540054107004709,5.472413520611222
2015-08-31,-0.1472609302452306,9.311962383377319,2.88803181140853,-0.30810346083524265,9.542216347668981,5.472409319521879
