dimension,response,horizon,value,sign,control_lags,regime
regime_interactions,ln_hh_loans_ea_stock,8,2.3290436644901973e-08,positive,,covid
regime_interactions,ln_hh_loans_ea_stock,12,-3.181943139097789e-14,negative,,covid
regime_interactions,ln_hh_loans_ea_stock,0,1.920457709267519e-08,positive,,pre_qe
regime_interactions,ln_hh_loans_ea_stock,1,-1.1429767407538541e-08,negative,,pre_qe
regime_interactions,ln_hh_loans_ea_stock,2,-3.472092805617333e-09,negative,,pre_qe
regime_interactions,ln_hh_loans_ea_stock,4,-2.849613107014619e-08,negative,,pre_qe
regime_interactions,ln_hh_loans_ea_stock,8,-8.941725440836363e-08,negative,,pre_qe
regime_interactions,ln_hh_loans_ea_stock,12,-1.9676031730738162e-07,negative,,pre_qe
regime_interactions,ln_hh_loans_ea_stock,0,2.7885260778764796e-08,positive,,qe
regime_interactions,ln_hh_loans_ea_stock,1,2.8264775674207997e-08,positive,,qe
regime_interactions,ln_hh_loans_ea_stock,2,3.812133412452977e-08,positive,,qe
regime_interactions,ln_hh_loans_ea_stock,4,-2.427158001541239e-09,negative,,qe
regime_interactions,ln_hh_loans_ea_stock,8,-4.709300598445249e-08,negative,,qe
regime_interactions,ln_hh_loans_ea_stock,12,-7.129807736067165e-08,negative,,qe
regime_interactions,ln_hh_loans_ea_stock,0,-1.4574779877539066e-07,negative,,tightening
regime_interactions,ln_hh_loans_ea_stock,1,-9.893031139200783e-08,negative,,tightening
regime_interactions,ln_hh_loans_ea_stock,2,-5.713375539999252e-14,negative,,tightening
regime_interactions,ln_hh_loans_ea_stock,4,-2.858955130424415e-14,negative,,tightening
regime_interactions,ln_hh_loans_ea_stock,8,3.430457755655472e-13,positive,,tightening
regime_interactions,ln_hh_loans_ea_stock,12,-2.7190578741965664e-13,negative,,tightening
regime_interactions,ln_house_price_de_real,0,2.0526616986975273e-08,positive,,covid
regime_interactions,ln_house_price_de_real,1,6.357587402879355e-08,positive,,covid
regime_interactions,ln_house_price_de_real,2,4.3467777900286915e-08,positive,,covid
regime_interactions,ln_house_price_de_real,4,2.9749851376183945e-08,positive,,covid
regime_interactions,ln_house_price_de_real,8,-6.093969679947064e-08,negative,,covid
regime_interactions,ln_house_price_de_real,12,-1.1156747302672481e-13,negative,,covid
regime_interactions,ln_house_price_de_real,0,3.0998383430174706e-08,positive,,pre_qe
regime_interactions,ln_house_price_de_real,1,5.3075411660470876e-08,positive,,pre_qe
regime_interactions,ln_house_price_de_real,2,6.10134860184952e-08,positive,,pre_qe
regime_interactions,ln_house_price_de_real,4,6.332948847210725e-08,positive,,pre_qe
regime_interactions,ln_house_price_de_real,8,2.4385797000263052e-08,positive,,pre_qe
regime_interactions,ln_house_price_de_real,12,2.2295777760708132e-08,positive,,pre_qe
regime_interactions,ln_house_price_de_real,0,1.4992030712264065e-08,positive,,qe
regime_interactions,ln_house_price_de_real,1,2.9664984064475982e-08,positive,,qe
regime_interactions,ln_house_price_de_real,2,6.514993236582396e-08,positive,,qe
regime_interactions,ln_house_price_de_real,4,3.4926864650727154e-08,positive,,qe
regime_interactions,ln_house_price_de_real,8,8.147957715365204e-08,positive,,qe
regime_interactions,ln_house_price_de_real,12,1.0952977057330173e-07,positive,,qe
regime_interactions,ln_house_price_de_real,0,-5.72833263375807e-08,negative,,tightening
regime_interactions,ln_house_price_de_real,1,-1.3681435326726685e-07,negative,,tightening
regime_interactions,ln_house_price_de_real,2,7.262714773304029e-14,positive,,tightening
regime_interactions,ln_house_price_de_real,4,6.503893284904618e-14,positive,,tightening
regime_interactions,ln_house_price_de_real,8,-4.421715067501634e-13,negative,,tightening
regime_interactions,ln_house_price_de_real,12,3.615402874324221e-13,positive,,tightening
regime_interactions,ln_nfc_loans_ea_stock,0,-3.6636769105994575e-08,negative,,covid
regime_interactions,ln_nfc_loans_ea_stock,1,-7.201877938225098e-08,negative,,covid
regime_interactions,ln_nfc_loans_ea_stock,2,-6.094292491108397e-08,negative,,covid
regime_interactions,ln_nfc_loans_ea_stock,4,-4.9776947123948345e-08,negative,,covid
regime_interactions,ln_nfc_loans_ea_stock,8,2.093097737859485e-09,positive,,covid
regime_interactions,ln_nfc_loans_ea_stock,12,-1.7180277779259726e-14,negative,,covid
regime_interactions,ln_nfc_loans_ea_stock,0,4.118780246002178e-08,positive,,pre_qe
regime_interactions,ln_nfc_loans_ea_stock,1,8.657708279401063e-08,positive,,pre_qe
regime_interactions,ln_nfc_loans_ea_stock,2,1.3974053163084401e-07,positive,,pre_qe
regime_interactions,ln_nfc_loans_ea_stock,4,3.720591028532382e-08,positive,,pre_qe
regime_interactions,ln_nfc_loans_ea_stock,8,-6.67544349884499e-08,negative,,pre_qe
regime_interactions,ln_nfc_loans_ea_stock,12,-3.494619567169466e-07,negative,,pre_qe
regime_interactions,ln_nfc_loans_ea_stock,0,8.4445638605908e-08,positive,,qe
regime_interactions,ln_nfc_loans_ea_stock,1,1.1570817311556049e-07,positive,,qe
regime_interactions,ln_nfc_loans_ea_stock,2,9.36541595921818e-08,positive,,qe
regime_interactions,ln_nfc_loans_ea_stock,4,8.504594344114034e-08,positive,,qe
regime_interactions,ln_nfc_loans_ea_stock,8,-2.686028592857663e-07,negative,,qe
regime_interactions,ln_nfc_loans_ea_stock,12,-1.507755687860767e-07,negative,,qe
regime_interactions,ln_nfc_loans_ea_stock,0,-6.624425234358293e-07,negative,,tightening
