"date","wx_shadow_rate","dfr_eop","dfr_avg","hh_loans_ea_stock","nfc_loans_ea_stock","dax_close","dax_volume","retail_de_mom_pct","retail_de_chained_index","hicp_de","hicp_ea20","hicp_ea","dax_real_de","hh_loans_real_de_hicp","nfc_loans_real_de_hicp"
2004-04-30,NA,NA,NA,3731434,3097738,NA,NA,NA,NA,97.9,97.72,97.75,NA,3811474.97446374,3164185.90398366
2004-05-31,NA,NA,NA,3756056,3106066,NA,NA,NA,NA,98.1,98.04,98.05,NA,3828803.26197757,3166224.26095821
2004-06-30,NA,NA,NA,3819855,3113973,NA,NA,NA,NA,98.1,98.09,98.1,NA,3893837.9204893,3174284.40366973
2004-07-31,NA,NA,NA,3851389,3122584,NA,NA,NA,NA,98.5,97.88,97.89,NA,3910039.59390863,3170136.04060914
2004-08-31,NA,NA,NA,3867175,3115660,NA,NA,NA,NA,98.6,98.07,98.09,NA,3922084.17849899,3159898.5801217
2004-09-30,2.04473600851825,NA,NA,3892603,3124182,NA,NA,NA,NA,98.2,98.19,98.2,NA,3963954.17515275,3181448.06517312
2004-10-31,2.13576394843036,NA,NA,3916221,3143126,NA,NA,NA,NA,98.5,98.57,98.58,NA,3975858.88324873,3190990.86294416
2004-11-30,2.16810517126763,NA,NA,3944941,3162204,NA,NA,NA,NA,98.1,98.5,98.51,NA,4021346.58511723,3223449.5412844
2004-12-31,2.07532986548788,NA,NA,3977532,3176546,NA,NA,NA,NA,99.2,98.87,98.89,NA,4009608.87096774,3202163.30645161
2005-01-31,2.02847580031615,1,1,3990169,3193146,4254.85,4400471728,2.1,102.1,98.6,98.27,98.27,4315.26369168357,4046824.54361055,3238484.78701826
2005-02-28,1.98745983275923,1,1,4006474,3195236,4350.49,4029762272,-1.2,100.8748,99,98.62,98.63,4394.43434343434,4046943.43434343,3227511.11111111
2005-03-31,2.00289660082523,1,1,4034733,3211693,4348.77,4256980320,0.1,100.9756748,99.4,99.35,99.36,4375.02012072435,4059087.52515091,3231079.47686117
2005-04-30,2.0534996194169,1,1,4063313,3237060,4184.84,4350029552,-0.5,100.470796426,99.4,99.77,99.78,4210.10060362173,4087840.04024145,3256599.59758551
2005-05-31,2.08576714078002,1,1,4099087,3255737,4460.63,4091042240,-0.2,100.269854833148,99.7,99.99,99.99,4474.05215646941,4111421.26379137,3265533.60080241
2005-06-30,2.11222356013831,1,1,4155562,3299954,4586.28,4787136768,0.6,100.871473962147,99.9,100.1,100.1,4590.87087087087,4159721.72172172,3303257.25725726
2005-07-31,2.11706517908744,1,1,4185753,3325651,4886.5,4527064224,0,100.871473962147,100.3,99.99,99.99,4871.88434695912,4173233.3000997,3315703.888335
2005-08-31,2.10226862829107,1,1,4207743,3311656,4829.69,4393875032,0.5,101.375831331958,100.5,100.23,100.23,4805.66169154229,4186808.95522388,3295180.09950249
2005-09-30,1.98007610635368,1,1,4241988,3338730,5044.12,4716475024,-0.6,100.767576343966,100.8,100.75,100.75,5004.0873015873,4208321.42857143,3312232.14285714
2005-10-31,2.14701973361382,1,1,4282925,3360518,4929.07,4581824480,0.2,100.969111496654,100.9,101.01,101,4885.10406342914,4244722.4975223,3330543.11199207
2005-11-30,2.3497015324926,1,1,4318684,3391292,5193.4,4643915328,0.1,101.07008060815,100.3,100.79,100.78,5177.86640079761,4305766.6999003,3381148.55433699
2005-12-31,2.30130879564744,1.25,1.20967741935484,4350383,3427835,5408.25,3506950216,0,101.07008060815,101.3,101.13,101.12,5338.8450148075,4294553.8005923,3383845.0148075
2006-01-31,2.28619261291061,1.25,1.25,4377635,3462164,5674.14,4973806256,-0.2,100.867940446934,100.7,100.68,100.66,5634.69712015889,4347204.56802383,3438097.31876862
2006-02-28,2.32318340655233,1.25,1.25,4400218,3501092,5796.04,4301694208,0.4,101.271412208722,101.1,100.97,100.95,5732.97725024728,4352342.23541048,3462999.01088032
2006-03-31,2.51802530921686,1.5,1.44354838709677,4432832,3541635,5970.08,5356717104,-0.5,100.765055147678,101.2,101.55,101.53,5899.28853754941,4380268.77470356,3499639.32806324
2006-04-30,2.5445335318252,1.5,1.5,4461566,3583733,6009.89,4276144688,0.6,101.369645478564,101.6,102.23,102.2,5915.24606299213,4391305.11811024,3527296.25984252
2006-05-31,2.74016025520552,1.5,1.5,4498375,3611969,5692.85,5856633208,0.4,101.775124060479,101.8,102.52,102.48,5592.1905697446,4418835.95284872,3548103.14341847
2006-06-30,2.82272883463572,1.75,1.63333333333333,4549542,3656553,5683.31,5601788560,0.4,102.18222455672,101.9,102.59,102.56,5577.34052993131,4464712.46319922,3588373.89597645
2006-07-31,2.98137437517402,1.75,1.75,4581864,3701235,5681.97,4092331776,-1.3,100.853855637483,102.4,102.46,102.43,5548.798828125,4474476.5625,3614487.3046875
2006-08-31,3.21441157051424,2,1.93548387096774,4600811,3694869,5859.56,5053352192,0.7,101.559832626946,102.3,102.56,102.52,5727.8201368524,4497371.45650049,3611797.65395894
2006-09-30,3.36061179507448,2,2,4632651,3746904,6004.33,4876677104,-1.6,99.9348753049144,101.8,102.56,102.53,5898.16306483301,4550737.72102161,3680652.25933202
2006-10-31,3.39115806500947,2.25,2.16935483870968,4660709,3785158,6268.91,4596704336,0.7,100.634419432049,101.9,102.64,102.61,6152.02158979392,4573806.67320903,3714580.96172718
2006-11-30,3.4241428126962,2.25,2.25,4695358,3825831,6309.18,5147706464,0.1,100.735053851481,101.8,102.69,102.64,6197.62278978389,4612335.95284872,3758183.6935167
2006-12-31,3.47970521551161,2.5,2.40322580645161,4730536,3864259,6596.91,3784359848,4.6,105.368866328649,102.7,103.08,103.04,6423.47614410906,4606169.4255112,3762666.99123661
2007-01-31,3.56059098606008,2.5,2.5,4747584.8,3918994.06,6789.1,5968353312,-6,99.04673434893,102.5,102.56,102.51,6623.51219512195,4631790.04878049,3823408.83902439
