response,regime,horizon,beta,HAC_se,t_stat,p_value,CI_low,CI_high,CI_68_low,CI_68_high,F_stat,partial_R2,weak_iv_flag,nobs
ln_ecb_assets_ea_stock,pre_qe,4,1.3849672952351424e-06,6.977454479347004e-07,1.9849177079328744,0.04715362789323661,2.3727816451087122e-07,2.5326564259594136e-06,6.910888340627591e-07,2.0788457564075256e-06,1.1900665335214733,0.026334693104262098,weak_iv_risk,63
ln_ecb_assets_ea_stock,pre_qe,8,4.211626497926593e-07,2.852500425626204e-07,1.476468315338471,0.13981821501031466,-4.803191730452852e-08,8.903572168898471e-07,1.374934962803438e-07,7.048318033049747e-07,0.9534796233749145,0.023282017355875647,weak_iv_risk,59
ln_ecb_assets_ea_stock,pre_qe,12,-5.902249929512591e-07,4.7232639017589187e-07,-1.2496125671306708,0.21144111012466685,-1.3671327689369708e-06,1.866827830344526e-07,-1.0599336951096805e-06,-1.2051629079283767e-07,0.00217814739966557,6.0500433911187986e-05,weak_iv_risk,55
ln_ecb_assets_ea_stock,qe,0,6.085843808467259e-07,1.8459041112056783e-07,3.296944717508757,0.0009774273796744094,3.049601736145966e-07,9.122085880788551e-07,4.250169913429479e-07,7.921517703505039e-07,1.463676483833765,0.02959093597323157,weak_iv_risk,67
ln_ecb_assets_ea_stock,qe,1,6.975721116138115e-07,3.217563794966055e-07,2.1680133046784573,0.030157674265380817,1.683299638040458e-07,1.226814259423577e-06,3.7759894355038313e-07,1.0175452796772397e-06,1.4525411404363773,0.02997863695582624,weak_iv_risk,66
ln_ecb_assets_ea_stock,qe,2,1.1021436254196692e-06,4.765730083162425e-07,2.3126438262074487,0.020742229839546576,3.1825078418352395e-07,1.8860364666558146e-06,6.282118403745945e-07,1.5760754104647439e-06,1.4216360097866017,0.02997863695578138,weak_iv_risk,65
ln_ecb_assets_ea_stock,qe,4,1.4631505470027851e-06,5.800744341943533e-07,2.522349651618258,0.011657377110549018,5.090130100163804e-07,2.41728808398919e-06,8.862909530697733e-07,2.040010140935797e-06,1.1900665335214733,0.026334693104262098,weak_iv_risk,63
ln_ecb_assets_ea_stock,qe,8,9.907867842964516e-07,4.156482554517116e-07,2.3837145261675645,0.01713889183144501,3.07106243780652e-07,1.674467324812251e-06,5.774421000201157e-07,1.4041314685727874e-06,0.9534796233749145,0.023282017355875647,weak_iv_risk,59
ln_ecb_assets_ea_stock,qe,12,-1.1626913436637076e-07,3.1828080764334024e-07,-0.3653036299212231,0.7148847690881204,-6.397944752075626e-07,4.072562064748211e-07,-4.327859926016576e-07,2.0024772386891605e-07,0.00217814739966557,6.0500433911187986e-05,weak_iv_risk,55
ln_ecb_assets_ea_stock,tightening,0,-1.893782829170395e-08,3.245033064977136e-07,-0.05835943089793257,0.9534623291204566,-5.526982689422133e-07,5.148226123588053e-07,-3.4164269956598596e-07,3.0376704298257806e-07,1.463676483833765,0.02959093597323157,weak_iv_risk,67
ln_ecb_assets_ea_stock,tightening,1,7.347840497321503e-07,3.207988652883727e-07,2.2904820722219132,0.021993386669837828,2.071168726406539e-07,1.2624512268236467e-06,4.157630892213844e-07,1.053805010242916e-06,1.4525411404363773,0.02997863695582624,weak_iv_risk,66
ln_ecb_assets_ea_stock,tightening,2,1.242216290055815e-12,4.618121370183912e-13,2.6898736314640104,0.00714790806611445,4.826029215109044e-13,2.001829658600726e-12,7.829635698359332e-13,1.7014690102756968e-12,1.4216360097866017,0.02997863695578138,weak_iv_risk,65
ln_ecb_assets_ea_stock,tightening,4,4.812821226406257e-13,1.6532767016236117e-13,2.9110802938671987,0.0036018144479656017,2.0934230473862936e-13,7.53221940542622e-13,3.168707177349637e-13,6.456935275462877e-13,1.1900665335214733,0.026334693104262098,weak_iv_risk,63
ln_ecb_assets_ea_stock,tightening,8,-3.122263774855869e-12,1.4919991323691049e-12,-2.0926713073204746,0.03637850628108267,-5.57638395914164e-12,-6.681435905700979e-13,-4.605994073782437e-12,-1.6385334759293003e-12,0.9534796233749145,0.023282017355875647,weak_iv_risk,59
ln_ecb_assets_ea_stock,tightening,12,2.5615714040924094e-12,1.505359927823292e-12,1.7016338463296081,0.08882402858034219,8.54746669448622e-14,5.037668141239956e-12,1.0645543568004716e-12,4.058588451384348e-12,0.00217814739966557,6.0500433911187986e-05,weak_iv_risk,55
ln_hh_loans_ea_stock,covid,0,1.5717734829516667e-08,4.743922716488103e-09,3.3132358532924013,0.0009222317428465316,7.914676343323733e-09,2.35207933157096e-08,1.1000103486767245e-08,2.0435366172266088e-08,1.463676483833765,0.02959093597323157,weak_iv_risk,67
ln_hh_loans_ea_stock,covid,1,1.4469178746918681e-08,3.5746157923135963e-09,4.047757741693913,5.171062640650183e-05,8.589458995973654e-09,2.0348898497863708e-08,1.0914373892806347e-08,1.8023983601031016e-08,1.4525411404363773,0.02997863695582624,weak_iv_risk,66
ln_hh_loans_ea_stock,covid,2,2.3109565421539046e-08,4.997286639214116e-09,4.624422629711972,3.7564326387624607e-06,1.4889760368111576e-08,3.132937047496651e-08,1.8139974328513795e-08,2.8079156514564296e-08,1.4216360097866017,0.02997863695578138,weak_iv_risk,65
ln_hh_loans_ea_stock,covid,4,3.322821711373769e-08,1.2088002345090468e-08,2.748859254418767,0.00598030592414438,1.334522261381774e-08,5.311121161365764e-08,2.120720788940449e-08,4.524922633807089e-08,1.1900665335214733,0.026334693104262098,weak_iv_risk,63
ln_hh_loans_ea_stock,covid,8,2.329043664490197e-08,1.0688358973189476e-08,2.179047008368952,0.029328176258093114,5.709650621691955e-09,4.087122266811199e-08,1.2661313805437992e-08,3.391955948436595e-08,0.9534796233749145,0.023282017355875647,weak_iv_risk,59
ln_hh_loans_ea_stock,covid,12,-3.181943139097789e-14,6.87016521018764e-14,-0.46315380223744035,0.6432541275076682,-1.448235930283075e-13,8.11847302463517e-14,-1.0014033091322279e-13,3.650146813126701e-14,0.00217814739966557,6.0500433911187986e-05,weak_iv_risk,55
ln_hh_loans_ea_stock,pre_qe,0,1.920457709267519e-08,1.1551589822631812e-08,1.6625051086084868,0.09641153990597498,2.0390267586355145e-10,3.820525150948683e-08,7.71700752995343e-09,3.069214665539695e-08,1.463676483833765,0.02959093597323157,weak_iv_risk,67
ln_hh_loans_ea_stock,pre_qe,1,-1.142976740753854e-08,1.507036355123777e-08,-0.7584267870299506,0.44819552678015884,-3.621830955426925e-08,1.3358774739192168e-08,-2.6416609243903874e-08,3.557074428826795e-09,1.4525411404363773,0.02997863695582624,weak_iv_risk,66
ln_hh_loans_ea_stock,pre_qe,2,-3.4720928056173333e-09,2.134245884338986e-08,-0.1626847605093404,0.8707666464825627,-3.857731364222965e-08,3.1633128030994984e-08,-2.4696269249506093e-08,1.7752083638271426e-08,1.4216360097866017,0.02997863695578138,weak_iv_risk,65
